id,manual terms,role,feature,benefit,
1804,,pet owner,my home to keep track of where my pet is,I can find them if they run away.,
1805,,occupant,my water tank to make an before getting emply,I will start to refill my water tank,
1806,,home owner,my home to play white noise while I sleep,I can rest better.,
1807,,music lover,my smart music system to recognize my mood when I enter home and play a song to that ,I can enjoy or I feel to be alone with the song ,
1808,,home owner,my home to turn on my coffee pot and make me coffee 10 minutes before I wake up,I can drink it as soon as I am awake,
1809,,parent,"my home to turn off the television, mobile phones and computer until my children are done studying",my children can finish their homework without distractions,
1810,,home cook,stove fans to come on automatically,the level of smoke from cooking is maintained. ,
1811,,pet owner,Stay distance the computed equipment from pets.,"They protcted, and second one it was safe to computed system.",
1813,,parent,"my smart mobile to send me an SMS when my child is not feeling well, when I am in office",I can rush or alert my family doctor to attend them,
1814,,resident,my smart home to alert me when some enters the building i live in,so i know when someone is coming up the stairs near my apartment,
1815,,parent,the wifi to turn off at bedtime,my kids wont be using it too late. ,
1816,,home occupant,my smart home to let me know if water is running when an area isn't occupied,I can save on water costs,
1817,,pet owner,my smart home to alert me when my dog enters a room,so I know where she is,
1818,,home occupant,the beds to warm 10 mins before I enter,i wont have to feel cold sheets,
1819,,home owner,my smart home to turn off appliances (tv/computer) when a room is empty,I can save on electricity,
1820,,home occupant,the heated floors to turn on 30 mins before my alarm,they only turn on when i need them,
1821,,home owner,my smart home to alert me when a burner is on in the kitchen when it is unoccupied,prevent a fire,
1823,,home occupant,my vacuum cleaner to clean to floors at a particular time daily or as I Program ,my house will be clean ,
1824,,music lover,"Auto volume control when vetting out from my room while listening ,and auto increase when enters , switch volume and song changes with my words.","Easy to.use , feel lively while listen music .",
1825,,home occupant,the coffee machine to start 5 minutes before my alarm,it will be ready to drink when i get downstairs,
1826,,home occupant,my smart home to record shows I watch without having to pre-program them,maximize my entertainment,
1827,,parent,my smart home to alert me when someone is in the medicine cabinet,protect my children from taking medicines by accident,
1828,,home occupant,the windows and doors to lock automatically after 10 pm,"when i forget to do it manually, I know I am safe. ",
1829,,gardener,a soil monitor,I can be alerted when my plants need watering,
1830,,home owner,"my smart home to alert me when the oven is on, but there isn't anything in it",avoid a fire or gas leak,
1831,,home occupant,to be alerted when I have mail,I know when to check it because I don't always receive mail,
1832,,home owner,smart home to send a picture to my phone of anyone standing on my doorstep,know who is visiting me before I choose to answer the door,
1833,,home owner,automatic lights which turn off when I leave a room or only turn on when ambient light is low,I can save everygy,
1834,,parent,to be alerted where my children are when i am not home,i know that they aren't getting into trouble or doing things they shouldn't be doing,
